les types de production d'électricité;La valeur attendu de l'emission(kg/MWh);L'écart-type de la valeur attendu de l'emission ;Le coût d'emision en $;Coût de carburant pour 1 Mwh en $;L'écart-type de la coût de carburant attendu;le coût attendu d'exploitation et de maintenance;L'écart-type du coût attendu d'exploitation et de maintenance; l'investissement attendu($/MW) ;L'écart-type de l'investissement attendu($/MW) 
Gaz naturel ;514,8;2157,1;5,79;30,0;3,9; 20.000,00 ; -   ; 2450000 ; 208.250,00 
lignite ;964,9;112,2;5,79;60,4;14,6; 40.000,00 ; -   ; 4113000 ; 349.605,00 
charbon importé;996,2;112,2;5,79;73,0;14,6; 30.000,00 ; -   ; 4113000 ; 349.605,00 
charbon Turque;1020,1;112,2;5,79;50,0;14,6; 30.000,00 ; -   ; 4113000 ; 349.605,00 
nucleaire ;0,0;0,0;5,79;12,1;1,0; 90.000,00 ; -   ; 10000000000000000000000 ;0,00
soleil;0,0;0,0;5,79;0;0; 15.000,00 ; -   ; 81000000 ; 68.850,00 
éolienne;0,0;0,0;5,79;0;0; 15.000,00 ; -   ; 1590000 ; 135.150,00 
éolien en mer;0,0;0,0;5,79;0;0; 15.000,00 ; -   ; 3040000 ; 258.400,00 
géothermale;0,0;0,0;5,79;0;0; 40.000,00 ; -   ; 3000000 ; 255.000,00 
biomasse ;0,0;0,0;5,79;41,5;3,9; 40.000,00 ; -   ; 2599000 ; 220.915,00 
hydroéléctrique;0,0;0,0;5,79;0;0; 10.000,00 ; -   ; 1350000 ; 114.750,00 
fuel-oil;601,0;66,2;5,79;58,8;4,9; 30.000,00 ; -   ; 1280000 ; 108.800,00 
